"filename", "language", "Python", "C++", "comment", "blank", "total"
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1909A2.cpp", "C++", 0, 37, 0, 1, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1913A.cpp", "C++", 0, 16, 0, 2, 18
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1914A.cpp", "C++", 0, 26, 0, 2, 28
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1914B.cpp", "C++", 0, 23, 0, 3, 26
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1915A.cpp", "C++", 0, 16, 0, 3, 19
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1920B.cpp", "C++", 0, 32, 6, 1, 39
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1921C.cpp", "C++", 0, 28, 9, 1, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1922E.cpp", "C++", 0, 14, 0, 1, 15
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1968D.cpp", "C++", 0, 54, 7, 4, 65
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1973B.cpp", "C++", 0, 60, 6, 3, 69
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1974C.cpp", "C++", 0, 73, 2, 4, 79
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1974D.cpp", "C++", 0, 101, 0, 4, 105
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1975C.cpp", "C++", 0, 40, 1, 4, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1978C.cpp", "C++", 0, 53, 3, 3, 59
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1979C.cpp", "C++", 0, 32, 0, 3, 35
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1980C.cpp", "C++", 0, 46, 4, 3, 53
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1980D.cpp", "C++", 0, 81, 13, 4, 98
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1981B.cpp", "C++", 0, 38, 4, 3, 45
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1982B.cpp", "C++", 0, 32, 3, 3, 38
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1982C.cpp", "C++", 0, 36, 3, 3, 42
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1983B.cpp", "C++", 0, 77, 6, 3, 86
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1983C.cpp", "C++", 0, 65, 1, 4, 70
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1984C1.cpp", "C++", 0, 31, 6, 3, 40
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1985E.cpp", "C++", 0, 27, 2, 3, 32
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1986D.cpp", "C++", 0, 45, 10, 3, 58
"/home/kapusta/Документы/programming_tasks/CodeForcesRound/nar/1987B.cpp", "C++", 0, 36, 3, 3, 42
